State,Data Acquisition Time,pH
Andhra Pradesh,04-08-2019 08:30,7.4
Andhra Pradesh,16-10-2019 08:30,6.7
Andhra Pradesh,04-11-2020 08:30,6.9
Andhra Pradesh,10-07-2020 08:30,6.8
Andhra Pradesh,24-04-2018 08:30,7.4
Andhra Pradesh,10-06-2018 08:30,7.42
Andhra Pradesh,10-09-2019 08:30,7.5
Andhra Pradesh,14-04-2020 08:30,6.8
Andhra Pradesh,17-10-2020 08:30,7.5
Andhra Pradesh,23-04-2018 08:30,7.6
Andhra Pradesh,24-10-2018 08:30,7.9
Andhra Pradesh,30-04-2019 08:30,7.5
Andhra Pradesh,10-10-2019 08:30,7.8
Andhra Pradesh,15-04-2020 08:30,7.3
Andhra Pradesh,14-10-2020 08:30,7.5
Andhra Pradesh,04-06-2018 08:30,7.6
Andhra Pradesh,10-08-2018 08:30,8.7
Andhra Pradesh,04-03-2019 08:30,7.8
Andhra Pradesh,10-10-2019 08:30,8.1
Andhra Pradesh,13-04-2020 08:30,8.2
Andhra Pradesh,10-06-2020 08:30,8.2
Andhra Pradesh,05-10-2018 08:30,7.63
Andhra Pradesh,10-05-2018 08:30,7.07
Andhra Pradesh,10-04-2019 08:30,7
Andhra Pradesh,10-07-2020 08:30,7.14
Andhra Pradesh,10-05-2018 08:30,7.35
Andhra Pradesh,10-04-2019 08:30,7.2
Andhra Pradesh,10-07-2020 08:30,7.6
Andhra Pradesh,10-09-2019 08:30,7.9
Andhra Pradesh,13-04-2020 08:30,7.8
Andhra Pradesh,14-10-2020 08:30,7.2
Andhra Pradesh,04-10-2018 08:30,7.5
Andhra Pradesh,24-10-2018 08:30,7.3
Andhra Pradesh,20-04-2019 08:30,7.4
Andhra Pradesh,10-10-2019 08:30,7.7
Andhra Pradesh,14-04-2020 08:30,7.6
Andhra Pradesh,15-10-2020 08:30,7.8
Andhra Pradesh,18-06-2019 08:30,7.6
Andhra Pradesh,21-10-2019 08:30,7.9
Andhra Pradesh,04-11-2020 08:30,7.5
Andhra Pradesh,10-07-2020 08:30,8.1
Andhra Pradesh,10-11-2019 08:30,7.5
Andhra Pradesh,13-04-2020 08:30,7.1
Andhra Pradesh,10-06-2020 08:30,7.4
Andhra Pradesh,27-06-2019 08:30,7.5
Andhra Pradesh,10-09-2019 08:30,7.1
Andhra Pradesh,15-04-2020 08:30,7.5
Andhra Pradesh,10-08-2020 08:30,7.8
Andhra Pradesh,01-03-2018 08:30,7.8
Andhra Pradesh,14-02-2018 08:30,7.67
Andhra Pradesh,27-03-2018 08:30,7.11
Andhra Pradesh,04-04-2018 08:30,7.9
Andhra Pradesh,05-11-2018 08:30,7.56
Andhra Pradesh,06-06-2018 08:30,7.12
Andhra Pradesh,31-07-2018 08:30,7.24
Andhra Pradesh,08-06-2018 08:30,7.2
Andhra Pradesh,17-09-2018 08:30,7.5
Andhra Pradesh,24-10-2018 08:30,7.5
Andhra Pradesh,11-01-2018 08:30,8.4
Andhra Pradesh,31-12-2018 08:30,7.6
Andhra Pradesh,01-07-2019 08:30,7.2
Andhra Pradesh,15-02-2019 08:30,7.4
Andhra Pradesh,03-06-2019 08:30,7.2
Andhra Pradesh,20-04-2019 08:30,7.2
Andhra Pradesh,30-05-2019 08:30,7.3
Andhra Pradesh,26-06-2019 08:30,7
Andhra Pradesh,07-12-2019 08:30,7.1
Andhra Pradesh,08-07-2019 08:30,7.8
Andhra Pradesh,09-06-2019 08:30,7.4
Andhra Pradesh,10-09-2019 08:30,7.7
Andhra Pradesh,11-12-2019 08:30,7.8
Andhra Pradesh,12-11-2019 08:30,7.4
Andhra Pradesh,17-01-2020 08:30,6.8
Andhra Pradesh,24-02-2020 08:30,7
Andhra Pradesh,03-05-2020 08:30,7.2
Andhra Pradesh,14-04-2020 08:30,7.3
Andhra Pradesh,18-05-2020 08:30,7.2
Andhra Pradesh,22-06-2020 08:30,7.2
Andhra Pradesh,07-08-2020 08:30,6.9
Andhra Pradesh,17-08-2020 08:30,7.2
Andhra Pradesh,09-09-2020 08:30,7.6
Andhra Pradesh,15-10-2020 08:30,7.4
Andhra Pradesh,11-05-2020 08:30,7.5
Andhra Pradesh,12-08-2020 08:30,7.4
Andhra Pradesh,18-05-2019 08:30,7.6
Andhra Pradesh,06-04-2019 08:30,7.4
